4.29E-05,"Bibile, Monaragala",08/01/2020,09/01/2020
5.75E-05,"Bibile, Monaragala",09/01/2020,10/01/2020
0.000144677,"Bibile, Monaragala",10/01/2020,11/01/2020
,"Bibile, Monaragala",11/01/2020,12/01/2020
4.91E-05,"Bibile, Monaragala",12/01/2020,13/01/2020
5.64E-05,"Bibile, Monaragala",13/01/2020,14/01/2020
2.04E-05,"Bibile, Monaragala",14/01/2020,15/01/2020
0.000195848,"Bibile, Monaragala",15/01/2020,16/01/2020
0.000238842,"Bibile, Monaragala",16/01/2020,17/01/2020
,"Bibile, Monaragala",17/01/2020,18/01/2020
-0.000121091,"Bibile, Monaragala",18/01/2020,19/01/2020
1.60E-05,"Bibile, Monaragala",19/01/2020,20/01/2020
,"Bibile, Monaragala",20/01/2020,21/01/2020
-8.76E-05,"Bibile, Monaragala",21/01/2020,22/01/2020
,"Bibile, Monaragala",22/01/2020,23/01/2020
9.61E-06,"Bibile, Monaragala",23/01/2020,24/01/2020
7.45E-05,"Bibile, Monaragala",24/01/2020,25/01/2020
6.01E-06,"Bibile, Monaragala",25/01/2020,26/01/2020
5.20E-05,"Bibile, Monaragala",26/01/2020,27/01/2020
,"Bibile, Monaragala",27/01/2020,28/01/2020
8.37E-05,"Bibile, Monaragala",28/01/2020,29/01/2020
3.18E-05,"Bibile, Monaragala",29/01/2020,30/01/2020
0.000177317,"Bibile, Monaragala",30/01/2020,31/01/2020
8.11E-05,"Bibile, Monaragala",31/01/2020,01/02/2020
0.000127546,"Bibile, Monaragala",01/02/2020,02/02/2020
0.000104569,"Bibile, Monaragala",02/02/2020,03/02/2020
4.36E-05,"Bibile, Monaragala",03/02/2020,04/02/2020
,"Bibile, Monaragala",04/02/2020,05/02/2020
0.000411105,"Bibile, Monaragala",05/02/2020,06/02/2020
4.09E-05,"Bibile, Monaragala",06/02/2020,07/02/2020
7.83E-05,"Bibile, Monaragala",07/02/2020,08/02/2020
7.10E-05,"Bibile, Monaragala",08/02/2020,09/02/2020
8.28E-05,"Bibile, Monaragala",09/02/2020,10/02/2020
3.26E-05,"Bibile, Monaragala",10/02/2020,11/02/2020
8.47E-05,"Bibile, Monaragala",11/02/2020,12/02/2020
,"Bibile, Monaragala",12/02/2020,13/02/2020
,"Bibile, Monaragala",13/02/2020,14/02/2020
,"Bibile, Monaragala",14/02/2020,15/02/2020
0.000219217,"Bibile, Monaragala",15/02/2020,16/02/2020
0.000173861,"Bibile, Monaragala",16/02/2020,17/02/2020
6.74E-05,"Bibile, Monaragala",17/02/2020,18/02/2020
7.76E-05,"Bibile, Monaragala",18/02/2020,19/02/2020
9.71E-05,"Bibile, Monaragala",19/02/2020,20/02/2020
,"Bibile, Monaragala",20/02/2020,21/02/2020
-1.17E-05,"Bibile, Monaragala",21/02/2020,22/02/2020
,"Bibile, Monaragala",22/02/2020,23/02/2020
,"Bibile, Monaragala",23/02/2020,24/02/2020
2.37E-05,"Bibile, Monaragala",24/02/2020,25/02/2020
-0.000100485,"Bibile, Monaragala",25/02/2020,26/02/2020
-7.53E-06,"Bibile, Monaragala",26/02/2020,27/02/2020
0.000155692,"Bibile, Monaragala",27/02/2020,28/02/2020
,"Bibile, Monaragala",28/02/2020,29/02/2020
,"Bibile, Monaragala",29/02/2020,01/03/2020
0.00013294,"Bibile, Monaragala",01/03/2020,02/03/2020
0.000129309,"Bibile, Monaragala",02/03/2020,03/03/2020
0.000184855,"Bibile, Monaragala",03/03/2020,04/03/2020
0.00018469,"Bibile, Monaragala",04/03/2020,05/03/2020
0.000336373,"Bibile, Monaragala",05/03/2020,06/03/2020
,"Bibile, Monaragala",06/03/2020,07/03/2020
-5.10E-05,"Bibile, Monaragala",07/03/2020,08/03/2020
5.33E-05,"Bibile, Monaragala",08/03/2020,09/03/2020
6.82E-05,"Bibile, Monaragala",09/03/2020,10/03/2020
0.000124802,"Bibile, Monaragala",10/03/2020,11/03/2020
0.000124878,"Bibile, Monaragala",11/03/2020,12/03/2020
-2.03E-05,"Bibile, Monaragala",12/03/2020,13/03/2020
0.000235322,"Bibile, Monaragala",13/03/2020,14/03/2020
3.58E-05,"Bibile, Monaragala",14/03/2020,15/03/2020
,"Bibile, Monaragala",15/03/2020,16/03/2020
6.55E-05,"Bibile, Monaragala",16/03/2020,17/03/2020
,"Bibile, Monaragala",17/03/2020,18/03/2020
8.43E-05,"Bibile, Monaragala",18/03/2020,19/03/2020
0.000127676,"Bibile, Monaragala",19/03/2020,20/03/2020
6.93E-05,"Bibile, Monaragala",20/03/2020,21/03/2020
0.00015656,"Bibile, Monaragala",21/03/2020,22/03/2020
0.00018845,"Bibile, Monaragala",22/03/2020,23/03/2020
0.000165631,"Bibile, Monaragala",23/03/2020,24/03/2020
9.16E-05,"Bibile, Monaragala",24/03/2020,25/03/2020
0.000152616,"Bibile, Monaragala",25/03/2020,26/03/2020
0.000218646,"Bibile, Monaragala",26/03/2020,27/03/2020
0.000131731,"Bibile, Monaragala",27/03/2020,28/03/2020
6.42E-05,"Bibile, Monaragala",28/03/2020,29/03/2020
